web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672163823-548,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Nevasca de Natal,https://www.imdb.com/title/tt15700830/?ref_=adv_li_tt,Nevasca de Natal,"https://m.media-amazon.com/images/M/MV5BMmI4NTQ4NTctYWIyNS00ZGJkLTlkODEtZjRlZDU1ZDViMDA2XkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672163827-549,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Stranger Things,https://www.imdb.com/title/tt4574334/?ref_=adv_li_tt,Stranger Things,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR18,0,190,281_.jpg"
1672163831-550,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=adv_li_tt,Breaking Bad,"https://m.media-amazon.com/images/M/MV5BYTU3NWI5OGMtZmZhNy00MjVmLTk1YzAtZjA3ZDA3NzcyNDUxXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163835-551,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Pantera Negra: Wakanda para Sempre,https://www.imdb.com/title/tt9114286/?ref_=adv_li_tt,Pantera Negra: Wakanda para Sempre,"https://m.media-amazon.com/images/M/MV5BZjQyY2I5MTEtNzgzNS00YzM0LTk2MmUtNDQzM2I1MzdhNzdmXkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672163861-552,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Até os Ossos,https://www.imdb.com/title/tt10168670/?ref_=adv_li_tt,Até os Ossos,"https://m.media-amazon.com/images/M/MV5BODE0Yzg4NDgtOWI5NS00ZTZkLWE1NzQtMTQ4ZmU4OGMxMTg0XkEyXkFqcGdeQXVyMTM1MjM0NDk3._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163873-553,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",A Casa do Dragão,https://www.imdb.com/title/tt11198330/?ref_=adv_li_tt,A Casa do Dragão,"https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163877-554,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Slow Horses,https://www.imdb.com/title/tt5875444/?ref_=adv_li_tt,Slow Horses,"https://m.media-amazon.com/images/M/MV5BNDgwODEwOTYtODYwMS00MzE5LTg3ODktOTU2YjExYWEzMmQ2XkEyXkFqcGdeQXVyNjYxNjc0OTc@._V1_QL75_UY281_CR2,0,190,281_.jpg"
1672163882-555,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Triângulo da Tristeza,https://www.imdb.com/title/tt7322224/?ref_=adv_li_tt,Triângulo da Tristeza,"https://m.media-amazon.com/images/M/MV5BNDRiZjc0ZDMtMjhlYi00ZjAzLTg0MDQtZDI2NGEyYTBlN2M2XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672163886-556,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",Mentes Criminosas,https://www.imdb.com/title/tt0452046/?ref_=adv_li_tt,Mentes Criminosas,"https://m.media-amazon.com/images/M/MV5BZWVjZWUyMzUtMGRiMS00MzhkLWI5NTQtYjBmZWVlZThjZjFkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672163890-557,"https://www.imdb.com/search/title/?genres=drama&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=0QT0GHSZHD654892VS4N&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_1",A Felicidade Não se Compra,https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt,A Felicidade Não se Compra,"https://m.media-amazon.com/images/M/MV5BMTYyOTAzZDUtMWUzYS00MjY4LTlmMTgtMGI5NzdmMWI5Y2FmXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY281_CR5,0,190,281_.jpg"
